event_id,timestamp,line,product_family,defect_type,severity,units_impacted,root_cause
Q00409,2026-01-12T18:06:00Z,Line-D,Pump-Housing,Thread Damage,Medium,30,Setup Drift
Q00646,2026-01-12T20:33:00Z,Line-C,Seal-Plate,Coating Void,Medium,18,Setup Drift
Q00816,2026-01-12T03:56:00Z,Line-D,Valve-Body,Burr,Low,26,Supplier Material
Q00846,2026-01-12T13:51:00Z,Line-D,Pump-Housing,Dimension Drift,Medium,46,Setup Drift
Q00608,2026-01-12T20:36:00Z,Line-B,Pump-Housing,Thread Damage,Medium,48,Tool Wear
Q00347,2026-01-12T13:04:00Z,Line-D,Seal-Plate,Burr,Low,4,Sensor Fault
Q00628,2026-01-12T15:20:00Z,Line-D,Seal-Plate,Dimension Drift,Medium,12,Supplier Material
Q00228,2026-01-12T08:08:00Z,Line-C,Pump-Housing,Dimension Drift,Medium,22,Setup Drift
Q00194,2026-01-12T17:41:00Z,Line-B,Seal-Plate,Burr,Low,36,Sensor Fault
Q00401,2026-01-12T05:19:00Z,Line-A,Seal-Plate,Dimension Drift,Medium,44,Tool Wear
Q01261,2026-01-13T04:49:00Z,Line-D,Seal-Plate,Dimension Drift,Medium,22,Tool Wear
Q01896,2026-01-13T04:47:00Z,Line-C,Pump-Housing,Burr,Low,14,Operator Method
Q01743,2026-01-13T04:29:00Z,Line-C,Pump-Housing,Porosity,Medium,42,Supplier Material
Q01195,2026-01-13T13:00:00Z,Line-B,Pump-Housing,Surface Scratch,Low,28,Supplier Material
Q01522,2026-01-13T08:41:00Z,Line-C,Valve-Body,Thread Damage,Medium,30,Operator Method
Q01791,2026-01-13T14:02:00Z,Line-D,Pump-Housing,Dimension Drift,Medium,14,Sensor Fault
Q01652,2026-01-13T04:38:00Z,Line-D,Pump-Housing,Porosity,Medium,76,Setup Drift
Q01587,2026-01-13T20:24:00Z,Line-D,Valve-Body,Coating Void,Medium,28,Operator Method
Q01474,2026-01-13T18:13:00Z,Line-B,Seal-Plate,Coating Void,Medium,22,Setup Drift
Q01962,2026-01-13T02:58:00Z,Line-B,Rotor-Core,Burr,Low,34,Tool Wear
Q01894,2026-01-13T07:18:00Z,Line-C,Seal-Plate,Coating Void,Medium,76,Operator Method
Q02617,2026-01-14T14:49:00Z,Line-C,Valve-Body,Dimension Drift,Medium,66,Setup Drift
Q02133,2026-01-14T01:33:00Z,Line-A,Seal-Plate,Surface Scratch,Low,26,Setup Drift
Q02329,2026-01-14T11:01:00Z,Line-C,Pump-Housing,Burr,Low,24,Supplier Material
Q02444,2026-01-14T04:03:00Z,Line-B,Valve-Body,Seal Defect,High,84,Tool Wear
Q02290,2026-01-14T10:00:00Z,Line-A,Valve-Body,Surface Scratch,Low,18,Setup Drift
Q02854,2026-01-14T12:20:00Z,Line-C,Pump-Housing,Surface Scratch,Low,9,Operator Method
Q02202,2026-01-14T15:22:00Z,Line-C,Pump-Housing,Burr,Low,34,Supplier Material
Q02275,2026-01-14T19:21:00Z,Line-C,Valve-Body,Seal Defect,High,30,Setup Drift
Q03959,2026-01-15T14:19:00Z,Line-C,Valve-Body,Surface Scratch,Low,8,Tool Wear
